"ITEM_CODE","ITEM_TYPE","ITEM_NAME"
"SGS","NAT_REGN_CODE","NAT_REGN_CODE"
"ESP","NAT_REGN_CODE","NAT_REGN_CODE"
"LKA","NAT_REGN_CODE","NAT_REGN_CODE"
"SDN","NAT_REGN_CODE","NAT_REGN_CODE"
"SUR","NAT_REGN_CODE","NAT_REGN_CODE"
"SJM","NAT_REGN_CODE","NAT_REGN_CODE"
"SWZ","NAT_REGN_CODE","NAT_REGN_CODE"
"SWE","NAT_REGN_CODE","NAT_REGN_CODE"
"CHE","NAT_REGN_CODE","NAT_REGN_CODE"
"SYR","NAT_REGN_CODE","NAT_REGN_CODE"
"TJK","NAT_REGN_CODE","NAT_REGN_CODE"
"TZA","NAT_REGN_CODE","NAT_REGN_CODE"
"THA","NAT_REGN_CODE","NAT_REGN_CODE"
"TGO","NAT_REGN_CODE","NAT_REGN_CODE"
"TKL","NAT_REGN_CODE","NAT_REGN_CODE"
"TON","NAT_REGN_CODE","NAT_REGN_CODE"
"TTO","NAT_REGN_CODE","NAT_REGN_CODE"
"TUN","NAT_REGN_CODE","NAT_REGN_CODE"
"TUR","NAT_REGN_CODE","NAT_REGN_CODE"
"TKM","NAT_REGN_CODE","NAT_REGN_CODE"
"TCA","NAT_REGN_CODE","NAT_REGN_CODE"
"TUV","NAT_REGN_CODE","NAT_REGN_CODE"
"UGA","NAT_REGN_CODE","NAT_REGN_CODE"
"UKR","NAT_REGN_CODE","NAT_REGN_CODE"
"ARE","NAT_REGN_CODE","NAT_REGN_CODE"
"GBR","NAT_REGN_CODE","NAT_REGN_CODE"
"USA","NAT_REGN_CODE","NAT_REGN_CODE"
"UMI","NAT_REGN_CODE","NAT_REGN_CODE"
"URY","NAT_REGN_CODE","NAT_REGN_CODE"
"UZB","NAT_REGN_CODE","NAT_REGN_CODE"
"VUT","NAT_REGN_CODE","NAT_REGN_CODE"
"VAT","NAT_REGN_CODE","NAT_REGN_CODE"
"VEN","NAT_REGN_CODE","NAT_REGN_CODE"
"VNM","NAT_REGN_CODE","NAT_REGN_CODE"
"VGB","NAT_REGN_CODE","NAT_REGN_CODE"
"VIR","NAT_REGN_CODE","NAT_REGN_CODE"
"WLF","NAT_REGN_CODE","NAT_REGN_CODE"
"ESH","NAT_REGN_CODE","NAT_REGN_CODE"
"YEM","NAT_REGN_CODE","NAT_REGN_CODE"
"YUG","NAT_REGN_CODE","NAT_REGN_CODE"
"ZMB","NAT_REGN_CODE","NAT_REGN_CODE"
"ZWE","NAT_REGN_CODE","NAT_REGN_CODE"
"SRB","NAT_REGN_CODE","NAT_REGN_CODE"
"AFG","NAT_REGN_CODE","阿富汗"
"ALB","NAT_REGN_CODE","阿尔巴尼亚"
"DZA","NAT_REGN_CODE","阿尔及利亚"
"ASM","NAT_REGN_CODE","美属萨摩亚"
"AND","NAT_REGN_CODE","安道尔"
"AGO","NAT_REGN_CODE","安哥拉"
"AIA","NAT_REGN_CODE","安圭拉"
"ATA","NAT_REGN_CODE","南极洲"
"ATG","NAT_REGN_CODE","安提瓜和巴布达"
"ARG","NAT_REGN_CODE","阿根廷"
"ARM","NAT_REGN_CODE","亚美尼亚"
"ABW","NAT_REGN_CODE","阿鲁巴"
"AUS","NAT_REGN_CODE","澳大利亚"
"AUT","NAT_REGN_CODE","奥地利"
"AZE","NAT_REGN_CODE","阿塞拜疆"
"BHS","NAT_REGN_CODE","巴哈马"
"BHR","NAT_REGN_CODE","巴林"
"BGD","NAT_REGN_CODE","孟加拉国"
"BRB","NAT_REGN_CODE","巴巴多斯"
"BLR","NAT_REGN_CODE","白俄罗斯"
"BEL","NAT_REGN_CODE","比利时"
"BLZ","NAT_REGN_CODE","伯利兹"
"BEN","NAT_REGN_CODE","贝宁"
"BMU","NAT_REGN_CODE","百慕大"
"BTN","NAT_REGN_CODE","不丹"
"BOL","NAT_REGN_CODE","玻利维亚"
"BIH","NAT_REGN_CODE","波黑"
"BWA","NAT_REGN_CODE","博茨瓦纳"
"BVT","NAT_REGN_CODE","布维岛"
"BRA","NAT_REGN_CODE","巴西"
"IOT","NAT_REGN_CODE","英属印度洋领土"
"BRN","NAT_REGN_CODE","文莱"
"BGR","NAT_REGN_CODE","保加利亚"
"BFA","NAT_REGN_CODE","布基纳法索"
"BDI","NAT_REGN_CODE","布隆迪"
"KHM","NAT_REGN_CODE","柬埔寨"
"CMR","NAT_REGN_CODE","喀麦隆"
"CAN","NAT_REGN_CODE","加拿大"
"CPV","NAT_REGN_CODE","佛得角"
"CYM","NAT_REGN_CODE","开曼群岛"
"CAF","NAT_REGN_CODE","中非"
"TCD","NAT_REGN_CODE","乍得"
"CHL","NAT_REGN_CODE","智利"
"CHN","NAT_REGN_CODE","中国"
"HKG","NAT_REGN_CODE","香港"
"MAC","NAT_REGN_CODE","澳门"
"TWN","NAT_REGN_CODE","台湾"
"CXR","NAT_REGN_CODE","圣诞岛"
"CCK","NAT_REGN_CODE","科科斯(基林)群岛"
"COL","NAT_REGN_CODE","哥伦比亚"
"COM","NAT_REGN_CODE","科摩罗"
"COG","NAT_REGN_CODE","刚果（布）"
"COD","NAT_REGN_CODE","刚果（金）"
"COK","NAT_REGN_CODE","库克群岛"
"CRI","NAT_REGN_CODE","哥斯达黎加"
"CIV","NAT_REGN_CODE","科特迪瓦"
"HRV","NAT_REGN_CODE","克罗地亚"
"CUB","NAT_REGN_CODE","古巴"
"CYP","NAT_REGN_CODE","塞浦路斯"
"CZE","NAT_REGN_CODE","捷克"
"DNK","NAT_REGN_CODE","丹麦"
"DJI","NAT_REGN_CODE","吉布提"
"DMA","NAT_REGN_CODE","多米尼克"
"DOM","NAT_REGN_CODE","多米尼加共和国"
"TMP","NAT_REGN_CODE","东帝汶"
"ECU","NAT_REGN_CODE","厄瓜多尔"
"EGY","NAT_REGN_CODE","埃及"
"SLV","NAT_REGN_CODE","萨尔瓦多"
"GNQ","NAT_REGN_CODE","赤道几内亚"
"ERI","NAT_REGN_CODE","厄立特里亚"
"EST","NAT_REGN_CODE","爱沙尼亚"
"ETH","NAT_REGN_CODE","埃塞俄比亚"
"FLK","NAT_REGN_CODE","福克兰群岛(马尔维纳斯)"
"FRO","NAT_REGN_CODE","法罗群岛"
"FJI","NAT_REGN_CODE","斐济"
"FIN","NAT_REGN_CODE","芬兰"
"FRA","NAT_REGN_CODE","法国"
"GUF","NAT_REGN_CODE","法属圭亚那"
"PYF","NAT_REGN_CODE","法属波利尼西亚"
"ATF","NAT_REGN_CODE","法属南部领土"
"GAB","NAT_REGN_CODE","加蓬"
"GMB","NAT_REGN_CODE","冈比亚"
"GEO","NAT_REGN_CODE","格鲁吉亚"
"DEU","NAT_REGN_CODE","德国"
"GHA","NAT_REGN_CODE","加纳"
"GIB","NAT_REGN_CODE","直布罗陀"
"GRC","NAT_REGN_CODE","希腊"
"GRL","NAT_REGN_CODE","格陵兰"
"GRD","NAT_REGN_CODE","格林纳达"
"GLP","NAT_REGN_CODE","瓜德罗普"
"GUM","NAT_REGN_CODE","关岛"
"GTM","NAT_REGN_CODE","危地马拉"
"GIN","NAT_REGN_CODE","几内亚"
"GNB","NAT_REGN_CODE","几内亚比绍"
"GUY","NAT_REGN_CODE","圭亚那"
"HTI","NAT_REGN_CODE","海地"
"HMD","NAT_REGN_CODE","赫德岛和麦克唐纳岛"
"HND","NAT_REGN_CODE","洪都拉斯"
"HUN","NAT_REGN_CODE","匈牙利"
"ISL","NAT_REGN_CODE","冰岛"
"IND","NAT_REGN_CODE","印度"
"IDN","NAT_REGN_CODE","印度尼西亚"
"IRN","NAT_REGN_CODE","伊朗"
"IRQ","NAT_REGN_CODE","伊拉克"
"IRL","NAT_REGN_CODE","爱尔兰"
"ISR","NAT_REGN_CODE","以色列"
"ITA","NAT_REGN_CODE","意大利"
"JAM","NAT_REGN_CODE","牙买加"
"JPN","NAT_REGN_CODE","日本"
"JOR","NAT_REGN_CODE","约旦"
"KAZ","NAT_REGN_CODE","哈萨克斯坦"
"KEN","NAT_REGN_CODE","肯尼亚"
"KIR","NAT_REGN_CODE","基里巴斯"
"PRK","NAT_REGN_CODE","朝鲜"
"KOR","NAT_REGN_CODE","韩国"
"KWT","NAT_REGN_CODE","科威特"
"KGZ","NAT_REGN_CODE","吉尔吉斯斯坦"
"LAO","NAT_REGN_CODE","老挝"
"LVA","NAT_REGN_CODE","拉脱维亚"
"LBN","NAT_REGN_CODE","黎巴嫩"
"LSO","NAT_REGN_CODE","NAT_REGN_CODE"
"LBR","NAT_REGN_CODE","NAT_REGN_CODE"
"LBY","NAT_REGN_CODE","NAT_REGN_CODE"
"LIE","NAT_REGN_CODE","NAT_REGN_CODE"
"LTU","NAT_REGN_CODE","NAT_REGN_CODE"
"LUX","NAT_REGN_CODE","NAT_REGN_CODE"
"MKD","NAT_REGN_CODE","NAT_REGN_CODE"
"MDG","NAT_REGN_CODE","NAT_REGN_CODE"
"MWI","NAT_REGN_CODE","NAT_REGN_CODE"
"MYS","NAT_REGN_CODE","NAT_REGN_CODE"
"MDV","NAT_REGN_CODE","NAT_REGN_CODE"
"MLI","NAT_REGN_CODE","NAT_REGN_CODE"
"MLT","NAT_REGN_CODE","NAT_REGN_CODE"
"MHL","NAT_REGN_CODE","NAT_REGN_CODE"
"MTQ","NAT_REGN_CODE","NAT_REGN_CODE"
"MRT","NAT_REGN_CODE","NAT_REGN_CODE"
"MUS","NAT_REGN_CODE","NAT_REGN_CODE"
"MYT","NAT_REGN_CODE","NAT_REGN_CODE"
"MEX","NAT_REGN_CODE","NAT_REGN_CODE"
"FSM","NAT_REGN_CODE","NAT_REGN_CODE"
"MDA","NAT_REGN_CODE","NAT_REGN_CODE"
"MCO","NAT_REGN_CODE","NAT_REGN_CODE"
"MNG","NAT_REGN_CODE","NAT_REGN_CODE"
"MSR","NAT_REGN_CODE","NAT_REGN_CODE"
"MAR","NAT_REGN_CODE","NAT_REGN_CODE"
"MOZ","NAT_REGN_CODE","NAT_REGN_CODE"
"MMR","NAT_REGN_CODE","NAT_REGN_CODE"
"NAM","NAT_REGN_CODE","NAT_REGN_CODE"
"NRU","NAT_REGN_CODE","NAT_REGN_CODE"
"NPL","NAT_REGN_CODE","NAT_REGN_CODE"
"NLD","NAT_REGN_CODE","NAT_REGN_CODE"
"ANT","NAT_REGN_CODE","NAT_REGN_CODE"
"NCL","NAT_REGN_CODE","NAT_REGN_CODE"
"NZL","NAT_REGN_CODE","NAT_REGN_CODE"
"NIC","NAT_REGN_CODE","NAT_REGN_CODE"
"NER","NAT_REGN_CODE","NAT_REGN_CODE"
"NGA","NAT_REGN_CODE","NAT_REGN_CODE"
"NIU","NAT_REGN_CODE","NAT_REGN_CODE"
"NFK","NAT_REGN_CODE","NAT_REGN_CODE"
"MNP","NAT_REGN_CODE","NAT_REGN_CODE"
"NOR","NAT_REGN_CODE","NAT_REGN_CODE"
"OMN","NAT_REGN_CODE","NAT_REGN_CODE"
"PAK","NAT_REGN_CODE","NAT_REGN_CODE"
"PLW","NAT_REGN_CODE","NAT_REGN_CODE"
"PSE","NAT_REGN_CODE","NAT_REGN_CODE"
"PAN","NAT_REGN_CODE","NAT_REGN_CODE"
"PNG","NAT_REGN_CODE","NAT_REGN_CODE"
"PRY","NAT_REGN_CODE","NAT_REGN_CODE"
"PER","NAT_REGN_CODE","NAT_REGN_CODE"
"PHL","NAT_REGN_CODE","NAT_REGN_CODE"
"PCN","NAT_REGN_CODE","NAT_REGN_CODE"
"POL","NAT_REGN_CODE","NAT_REGN_CODE"
"PRT","NAT_REGN_CODE","NAT_REGN_CODE"
"PRI","NAT_REGN_CODE","NAT_REGN_CODE"
"QAT","NAT_REGN_CODE","NAT_REGN_CODE"
"REU","NAT_REGN_CODE","NAT_REGN_CODE"
"ROM","NAT_REGN_CODE","NAT_REGN_CODE"
"RUS","NAT_REGN_CODE","NAT_REGN_CODE"
"RWA","NAT_REGN_CODE","NAT_REGN_CODE"
"SHN","NAT_REGN_CODE","NAT_REGN_CODE"
"KNA","NAT_REGN_CODE","NAT_REGN_CODE"
"LCA","NAT_REGN_CODE","NAT_REGN_CODE"
"SPM","NAT_REGN_CODE","NAT_REGN_CODE"
"VCT","NAT_REGN_CODE","NAT_REGN_CODE"
"WSM","NAT_REGN_CODE","NAT_REGN_CODE"
"SMR","NAT_REGN_CODE","NAT_REGN_CODE"
"STP","NAT_REGN_CODE","NAT_REGN_CODE"
"SAU","NAT_REGN_CODE","NAT_REGN_CODE"
"SEN","NAT_REGN_CODE","NAT_REGN_CODE"
"SYC","NAT_REGN_CODE","NAT_REGN_CODE"
"SLE","NAT_REGN_CODE","NAT_REGN_CODE"
"SGP","NAT_REGN_CODE","NAT_REGN_CODE"
"SVK","NAT_REGN_CODE","NAT_REGN_CODE"
"SVN","NAT_REGN_CODE","NAT_REGN_CODE"
"SLB","NAT_REGN_CODE","NAT_REGN_CODE"
"SOM","NAT_REGN_CODE","NAT_REGN_CODE"
"ZAF","NAT_REGN_CODE","NAT_REGN_CODE"
